Title,Author,Link on the book,Rating of users
Ловец видений,Сергей Лукьяненко,https://www.litres.ru/sergey-lukyanenko/lovec-videniy/,"3,9"
Месть Тьмы. Книга вторая. Танец мести,Сергей Тармашев,https://www.litres.ru/sergey-tarmashev/mest-tmy-kniga-vtoraya-tanec-mesti/,"4,7"
Варяг. Смерти нет,Александр Мазин,https://www.litres.ru/aleksandr-mazin/varyag-smerti-net/,"4,7"
Ведьмак. Весь цикл «Ведьмак» в одном томе,Анджей Сапковский,https://www.litres.ru/andzhey-sapkovskiy/vedmak/,"4,5"
Файролл. Квадратура круга. Том 4,Андрей Васильев,https://www.litres.ru/andrey-vasilev-4/fayroll-kvadratura-kruga-tom-4/,"4,8"
Двериндариум. Живое,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/dverindarium-zhivoe/,"4,8"
Кадет Морозов,Дмитрий Шелег,https://www.litres.ru/dmitriy-vitalevich-sheleg/kadet-morozov/,"4,8"
Не место для людей,Сергей Лукьяненко,https://www.litres.ru/nik-perumov/ne-mesto-dlya-ludey/,"4,0"
Невеста по службе,Анна Батлук,https://www.litres.ru/anna-batluk-27016763/nevesta-po-sluzhbe/,"4,7"
Участковый. От пистолета до кольца,Галина Дмитриевна Гончарова,https://www.litres.ru/galina-goncharova/uchastkovyy-ot-pistoleta-do-kolca/,"4,8"
Целитель. Двойная игра,Валерий Большаков,https://www.litres.ru/valeriy-bolshakov/celitel-dvoynaya-igra/,"4,4"
Охотник на демонов,Дмитрий Шелег,https://www.litres.ru/dmitriy-vitalevich-sheleg/ohotnik-na-demonov/,"4,6"
Наследник старого рода,Дмитрий Шелег,https://www.litres.ru/dmitriy-vitalevich-sheleg/naslednik-starogo-roda/,"4,5"
Achtung! Manager in der Luft!,Комбат Найтов,https://www.litres.ru/kombat-naytov/achtung-manager-in-der-luft/,"3,9"
Доминик Каррера. Академия,Дмитрий Колесников,https://www.litres.ru/dmitriy-kolesnikov-24239723/dominik-karrera-akademiya-64658807/,"4,9"
Двериндариум. Мертвое,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/dverindarium-mertvoe/,"4,8"
Доминик Каррера. Академия,Дмитрий Колесников,https://www.litres.ru/dmitriy-kolesnikov-24239723/dominik-karrera-akademiya/,"4,9"
Безумный Макс. Генерал империи,Михаил Ланцов,https://www.litres.ru/mihail-lancov/bezumnyy-maks-general-imperii/,"3,9"
На отбор вызывали?,Ольга Коротаева,https://www.litres.ru/olga-korotaeva/na-otbor-vyzyvali/,"4,9"
Тёмные пути,Андрей Васильев,https://www.litres.ru/andrey-vasilev-4/temnye-puti/,"4,8"
Боярич Морозов,Дмитрий Шелег,https://www.litres.ru/dmitriy-vitalevich-sheleg/boyarich-morozov/,"4,6"
Штуцер и тесак,Анатолий Дроздов,https://www.litres.ru/anatoliy-drozdov/shtucer-i-tesak/,"4,8"
Студентка в подарок,Анна Батлук,https://www.litres.ru/anna-batluk/studentka-v-podarok/,"4,8"
"Ну, «братец», погоди!",Ольга Коротаева,https://www.litres.ru/olga-korotaeva/nu-bratec-pogodi/,"4,8"
Скиталец. Гений,Константин Калбазов,https://www.litres.ru/konstantin-kalbazov-2218075/skitalec-geniy/,"4,6"
Скандал на драконьем факультете,Тальяна Орлова,https://www.litres.ru/talyana-orlova-18553754/skandal-na-drakonem-fakultete/,"4,8"
Стерва. Подвид: Королевская,Елена Звездная,https://www.litres.ru/elena-zvezdnaya/sterva-podvid-korolevskaya/,"4,4"
Студентка в наказание,Анна Батлук,https://www.litres.ru/anna-batluk-27016763/studentka-v-nakazanie/,"4,7"
Вор времени,Терри Пратчетт,https://www.litres.ru/terri-pratchett/vor-vremeni-63983391/,"4,8"
Трофей императора,Алина Углицкая,https://www.litres.ru/alina-uglickaya-15730401/trofey-imperatora/,"4,5"
"Мор, ученик Смерти",Терри Пратчетт,https://www.litres.ru/terri-pratchett/mor-uchenik-smerti-29186487/,"4,7"
Доминик Каррера,Дмитрий Колесников,https://www.litres.ru/dmitriy-kolesnikov-24239723/dominik-karrera/,"4,8"
Белый огонь,Алексей Пехов,https://www.litres.ru/aleksey-pehov/belyy-ogon/,"4,8"
Школа темных. Выпускница бури,Ольга Пашнина,https://www.litres.ru/olga-pashnina/shkola-temnyh-vypusknica-buri/,"4,8"
Император мира,Владимир Марков-Бабкин,https://www.litres.ru/vladimir-markov-babkin/imperator-mira/,"4,7"
Скиталец. Неугомонный,Константин Калбазов,https://www.litres.ru/konstantin-kalbazov-2218075/skitalec-neugomonnyy/,"4,5"
Лесная ведунья,Елена Звездная,https://www.litres.ru/elena-zvezdnaya/lesnaya-vedunya/,"4,4"
Добрые предзнаменования,Нил Гейман,https://www.litres.ru/nil-geyman/dobrye-predznamenovaniya-42123854/,"4,7"
Хана драконьему факультету,Тальяна Орлова,https://www.litres.ru/talyana-orlova-18553754/hana-drakonemu-fakultetu/,"4,8"
Доступ к телу,Вероника Мелан,https://www.litres.ru/veronika-melan/dostup-k-telu/,"4,6"
Маги без времени,Сергей Лукьяненко,https://www.litres.ru/sergey-lukyanenko/magi-bez-vremeni/,"4,7"
Призванная для Дракона,Алина Углицкая,https://www.litres.ru/alina-uglickaya-15730401/prizvannaya-dlya-drakona/,"4,6"
Кодекс самурая,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/kodeks-samuraya/,"4,7"
Ермак. Отряд,Игорь Валериев,https://www.litres.ru/igor-valeriev/ermak-otryad/,"4,4"
Не время для драконов,Сергей Лукьяненко,https://www.litres.ru/nik-perumov/ne-vremya-dlya-drakonov/,"4,5"
Восхождение Дарка,Артем Каменистый,https://www.litres.ru/artem-kamenistyy/voshozhdenie-darka-64419472/,"4,9"
Катастрофа на драконьем факультете,Тальяна Орлова,https://www.litres.ru/talyana-orlova-18553754/katastrofa-na-drakonem-fakultete/,"4,8"
Северное герцогство,Вера Чиркова,https://www.litres.ru/vera-chirkova/severnoe-gercogstvo/,"4,5"
Северный перевал,Вера Чиркова,https://www.litres.ru/vera-chirkova/severnyy-pereval/,"4,4"
Achtung! Manager in der Luft!,Комбат Найтов,https://www.litres.ru/kombat-naytov/achtung-manager-in-der-luft-64698692/,"5,0"
Тактический уровень,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/takticheskiy-uroven/,"4,7"
Королевство Бездуш. Lastfata,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/korolevstvo-bezdush-lastfata/,"4,9"
Золото мертвых,Андрей Васильев,https://www.litres.ru/andrey-vasilev-4/zoloto-mertvyh/,"4,8"
Стратегия воздействия,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/strategiya-vozdeystviya/,"4,7"
Губитель живых,Павел Корнев,https://www.litres.ru/pavel-kornev/gubitel-zhivyh/,"4,7"
Чудовище Карнохельма,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/chudovische-karnohelma/,"4,9"
Награда для генерала. Книга вторая: красные пески,Лена Летняя,https://www.litres.ru/lena-letnyaya-13023696/nagrada-dlya-generala-kniga-vtoraya-krasnye-peski/,"4,7"
Я тебя рисую,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/,"4,8"
Плацдарм для одиночки,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/placdarm-dlya-odinochki/,"4,6"
